,Unnamed: 0,title,subtitle,pdf,txt,more,fileName,year,date,President
0,0,36 WCPD 9 - The President's Radio Address,"Addresses and Remarks. Saturday, January 1, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg9.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg9.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg9&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg9,2000,"Saturday, January 1, 2000",Bill Clinton
1,1,36 WCPD 10 - Prayer at Christmas II: Holy Eucharist Services,"Addresses and Remarks. Sunday, January 2, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg10.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg10.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg10&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg10,2000,"Sunday, January 2, 2000",Bill Clinton
2,2,"36 WCPD 11 - Statement on the Death of Elmo R. Zumwalt, Jr.","Statements by the President. Sunday, January 2, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg11.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg11.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg11&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg11,2000,"Sunday, January 2, 2000",Bill Clinton
3,3,36 WCPD 13 - Remarks on the Renomination of Alan Greenspan as Chairman of the Federal Reserve Board and an...,"Appointments and Nominations. Tuesday, January 4, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg13-3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg13-3.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg13-3&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg13-3,2000,"Tuesday, January 4, 2000",Bill Clinton
4,4,"36 WCPD 16 - Remarks on Departure for Chappaqua, New York, and an Exchange With Reporters","Addresses and Remarks. Wednesday, January 5, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg16.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg16.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg16&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg16,2000,"Wednesday, January 5, 2000",Bill Clinton
5,5,36 WCPD 18 - Videotape Remarks for Dr. George Washington Carver National Recognition Day,"Addresses and Remarks. Wednesday, January 5, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg18.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg18.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg18&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg18,2000,"Wednesday, January 5, 2000",Bill Clinton
6,6,36 WCPD 19 - Memorandum on Delegation of Authority for Reporting Functions on Technology Transfer," Wednesday, January 5, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg19.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg19.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg19&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg19,2000,"Wednesday, January 5, 2000",Bill Clinton
7,7,36 WCPD 19 - Memorandum on Delegation of Authority for Reporting Functions on Technology Transfer," Wednesday, January 5, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg19-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg19-2.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg19-2&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg19-2,2000,"Wednesday, January 5, 2000",Bill Clinton
8,8,36 WCPD 20 - Memorandum on Delegation of Authority for Reporting Functions on Technology Transfer,"Communications to Federal Agencies. Wednesday, January 5, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg20.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg20.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg20&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg20,2000,"Wednesday, January 5, 2000",Bill Clinton
9,9,36 WCPD 20 - Letter to Congressional Leaders Transmitting a Report on the National Security Strategy,"Communications to Congress. Wednesday, January 5, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg20-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg20-2.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg20-2&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg20-2,2000,"Wednesday, January 5, 2000",Bill Clinton
10,10,"36 WCPD 20 - Exchange With Reporters in Chappaqua, New York","Interviews With the News Media. Thursday, January 6, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg20-3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg20-3.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg20-3&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg20-3,2000,"Thursday, January 6, 2000",Bill Clinton
11,11,"36 WCPD 22 - Message on the Observance of Id al-Fitr, 2000","Letters and Messages. Thursday, January 6, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg22.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg22.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg22&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg22,2000,"Thursday, January 6, 2000",Bill Clinton
12,12,"36 WCPD 23 - Remarks on Departure for Shepherdstown, West Virginia, and an Exchange With Reporters","Addresses and Remarks. Friday, January 7, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg23.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg23.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg23&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg23,2000,"Friday, January 7, 2000",Bill Clinton
13,13,36 WCPD 24 - Digest of Other,"Supplementary Materials. Friday, January 7, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg24.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg24.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg24&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg24,2000,"Friday, January 7, 2000",Bill Clinton
14,14,36 WCPD 25 - Nominations Submitted to the Senate,"Supplementary Materials. Friday, January 7, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg25.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg25.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg25&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg25,2000,"Friday, January 7, 2000",Bill Clinton
15,15,36 WCPD 25 - Checklist of White House Press Releases,"Supplementary Materials. Friday, January 7, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg25-2.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg25-2.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg25-2&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg25-2,2000,"Friday, January 7, 2000",Bill Clinton
16,16,36 WCPD 25 - Acts Approved by the President,"Supplementary Materials. Friday, January 7, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/pdf/WCPD-2000-01-10-Pg25-3.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-10/html/WCPD-2000-01-10-Pg25-3.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-10-Pg25-3&packageId=WCPD-2000-01-10&fromBrowse=true,WCPD-2000-01-10-Pg25-3,2000,"Friday, January 7, 2000",Bill Clinton
17,17,36 WCPD 27 - Statement on Proposed Funding for Little Rock Air Force Base,"Statements by the President. Friday, January 7, 2000.",https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-17/pdf/WCPD-2000-01-17-Pg27.pdf,https://www.gpo.gov/fdsys/pkg/WCPD-2000-01-17/html/WCPD-2000-01-17-Pg27.htm,search/pagedetails.action;jsessionid=tQdnZ41O9b8Q_aatxSOVilGGv1Uv_PcIC7JQ7MdErvzld_Ev2QA5!993185334!-377375115?browsePath=2000%2F01&granuleId=WCPD-2000-01-17-Pg27&packageId=WCPD-2000-01-17&fromBrowse=true,WCPD-2000-01-17-Pg27,2000,"Friday, January 7, 2000",Bill Clinton
